country,exchange,local_ticker,issuer,share_class,sector,currency,index_reference,official_status,data_symbol_candidate,international_symbol,economic_group,eligibility_status,eligibility_note,as_of,listing_scope,quote_currency,data_role
COLOMBIA,BVC,CELSIA,Celsia,ordinaria,servicios públicos,COP,MSCI COLCAP,candidato_por_verificar,CELSIA.CL,,Grupo Argos,candidato,Validar pertenencia y liquidez en rebalanceo vigente,2026-07-28,local_bvc,COP,precio_y_liquidez_local
COLOMBIA,BVC,MINEROS,Mineros,ordinaria,materiales,COP,MSCI COLCAP,candidato_por_verificar,MINEROS.CL,,Mineros,candidato,Validar retorno total y continuidad de precios,2026-07-28,local_bvc,COP,precio_y_liquidez_local
COLOMBIA,BVC,PROMIGAS,Promigas,ordinaria,servicios públicos,COP,MSCI COLCAP,candidato_por_verificar,PROMIGAS.CL,,Promigas,condicionado,Validar frecuencia de negociación,2026-07-28,local_bvc,COP,precio_y_liquidez_local
COLOMBIA,BVC,TERPEL,Organización Terpel,ordinaria,consumo discrecional,COP,MSCI COLCAP,candidato_por_verificar,TERPEL.CL,,Terpel,condicionado,Validar frecuencia de negociación,2026-07-28,local_bvc,COP,precio_y_liquidez_local
COLOMBIA,BVC,CORFICOLCF,Corficolombiana,ordinaria,financieros,COP,MSCI COLCAP,candidato_por_verificar,CORFICOLCF.CL,,Grupo Aval,condicionado,No duplicar exposición económica con PFAVAL,2026-07-28,local_bvc,COP,precio_y_liquidez_local
COLOMBIA,BVC,PFCORFICOL,Corficolombiana,preferencial,financieros,COP,MSCI COLCAP,candidato_por_verificar,PFCORFICOL.CL,,Grupo Aval,condicionado,No combinar con CORFICOLCF,2026-07-28,local_bvc,COP,precio_y_liquidez_local
COLOMBIA,BVC,PFGRUPOARG,Grupo Argos,preferencial,industriales,COP,MSCI COLCAP,candidato_por_verificar,PFGRUPOARG.CL,,Grupo Argos,condicionado,No combinar con GRUPOARGOS sin límite por emisor,2026-07-28,local_bvc,COP,precio_y_liquidez_local
COLOMBIA,BVC,BOGOTA,Banco de Bogotá,ordinaria,financieros,COP,MSCI COLCAP,candidato_por_verificar,BOGOTA.CL,,Grupo Aval,condicionado,Validar frecuencia de negociación,2026-07-28,local_bvc,COP,precio_y_liquidez_local
COLOMBIA,BVC,ENKA,Enka de Colombia,ordinaria,materiales,COP,MSCI COLCAP,candidato_por_verificar,ENKA.CL,,Enka,reserva,Exigir liquidez superior al umbral,2026-07-28,local_bvc,COP,precio_y_liquidez_local
COLOMBIA,BVC,ETB,Empresa de Telecomunicaciones de Bogotá,ordinaria,comunicaciones,COP,MSCI COLCAP,candidato_por_verificar,ETB.CL,,Distrito Bogotá,reserva,Exigir liquidez superior al umbral,2026-07-28,local_bvc,COP,precio_y_liquidez_local
COLOMBIA,BVC,CLH,Cemex Latam Holdings,ordinaria,materiales,COP,MSCI COLCAP,candidato_por_verificar,CLH.CL,,Cemex,reserva,Verificar estado de listado y eventos corporativos,2026-07-28,local_bvc,COP,precio_y_liquidez_local
COLOMBIA,BVC,ICOLCAP,iShares MSCI COLCAP ETF,ETF,índice,COP,MSCI COLCAP,confirmado_vehiculo,ICOLCAP.CL,,BlackRock,benchmark_operable,Usar como control o refugio; no como acción seleccionable,2026-06-30,local_bvc,COP,benchmark
COLOMBIA,BVC,EXITO,Almacenes Éxito,ordinaria,consumo básico,COP,MSCI COLCAP,candidato_historico_por_verificar,EXITO.CL,,Grupo Calleja,reserva,Verificar pertenencia en canasta vigente historia y liquidez,2026-07-28,local_bvc,COP,precio_y_liquidez_local
COLOMBIA,BVC,PEI,Patrimonio Autónomo Estrategias Inmobiliarias,participación,inmobiliario,COP,MSCI COLCAP,candidato_historico_por_verificar,PEI.CL,,PEI,reserva,No tratar como acción ordinaria; validar elegibilidad del vehículo y liquidez,2026-07-28,local_bvc,COP,precio_y_liquidez_local
COLOMBIA,BVC,GRUBOLIVAR,Grupo Bolívar,ordinaria,financieros,COP,MSCI COLCAP,candidato_historico_por_verificar,GRUBOLIVAR.CL,,Grupo Bolívar,reserva,Validar pertenencia vigente y frecuencia de negociación,2026-07-28,local_bvc,COP,precio_y_liquidez_local
COLOMBIA,BVC,GRUPOAVAL,Grupo Aval,ordinaria,financieros,COP,MSCI COLCAP,candidato_historico_por_verificar,GRUPOAVAL.CL,,Grupo Aval,reserva,No combinar con PFAVAL ni otras exposiciones del grupo,2026-07-28,local_bvc,COP,precio_y_liquidez_local
COLOMBIA,BVC,PFDAVIGRP,Davivienda Group,preferencial,financieros,COP,MSCI COLCAP,candidato_historico_por_verificar,PFDAVIGRP.CL,,Grupo Bolívar,reserva,Conciliar continuidad con PFDAVVNDA y evento corporativo de 2025,2026-07-28,local_bvc,COP,precio_y_liquidez_local
